NOMMER,VAAR,MOER,GR,YR,SEX,BDAT,WDAT
864203,831750,841380,3,86,2,1986/03/01,1986/06/09
864223,843010,800020,3,86,1,1986/03/01,1986/06/09
864232,830840,822090,2,86,2,1986/03/01,1986/06/09
864242,830840,822090,2,86,2,1986/03/01,1986/06/09
864252,843980,821070,2,86,1,1986/03/01,1986/06/09
864272,843980,830410,2,86,1,1986/03/01,1986/06/09
864292,830840,813470,2,86,1,1986/03/01,1986/06/09
864302,830840,813470,2,86,2,1986/03/01,1986/06/09
864352,844750,844060,2,86,2,1986/03/01,1986/06/09
864383,843010,811340,3,86,1,1986/03/01,1986/06/09
864392,843010,811340,2,86,1,1986/03/01,1986/06/09
864412,843010,830710,2,86,1,1986/03/01,1986/06/09
864422,843530,830560,2,86,1,1986/03/01,1986/06/09
864432,843530,830560,2,86,2,1986/03/01,1986/06/09
864493,830840,840490,3,86,2,1986/03/01,1986/06/09
864532,843530,834710,2,86,1,1986/03/01,1986/06/09
864542,843530,834710,2,86,2,1986/03/01,1986/06/09
864553,843010,820900,3,86,1,1986/03/01,1986/06/09
864563,843010,820900,3,86,2,1986/03/01,1986/06/09
864622,843790,843410,2,86,1,1986/03/01,1986/06/09
864642,843010,833060,2,86,1,1986/03/01,1986/06/09
864672,832990,820680,2,86,1,1986/03/01,1986/06/09
864682,832990,820680,2,86,2,1986/03/01,1986/06/09
864693,831750,840940,3,86,1,1986/03/01,1986/06/09
864703,831750,812480,3,87,2,1986/03/01,1986/06/09
864713,843790,840950,3,86,2,1986/03/01,1986/06/09
864722,844750,835120,2,86,1,1986/03/01,1986/06/09
864732,835260,844460,2,86,1,1986/03/01,1986/06/09
864762,844750,830890,2,86,1,1986/03/01,1986/06/09
864772,844750,830890,2,86,2,1986/03/01,1986/06/09
864803,831750,820570,3,86,1,1986/03/01,1986/06/09
864862,832140,813850,2,86,1,1986/03/01,1986/06/09
864872,832140,813850,2,86,1,1986/03/01,1986/06/09
864952,831750,810030,2,86,2,1986/03/01,1986/06/09
864963,831750,810030,3,86,2,1986/03/01,1986/06/09
864973,831750,832260,3,86,1,1986/03/01,1986/06/09
864983,832140,832730,3,86,2,1986/03/01,1986/06/09
